%time,field.data
1572619457068266568,<Rob Type="KUKA"><RIst X="200.0010" Y="-5744.7925" Z="1901.2018" A="106.6983" B="0.0001" C="180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394764</IPOC></Rob>

1572619457072447842,<Rob Type="KUKA"><RIst X="200.0014" Y="-5744.7925" Z="1901.2019" A="106.6983" B="0.0001" C="180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394768</IPOC></Rob>

1572619457076275962,<Rob Type="KUKA"><RIst X="200.0009" Y="-5744.7925" Z="1901.2018" A="106.6983" B="0.0001" C="-180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394772</IPOC></Rob>

1572619457080690123,<Rob Type="KUKA"><RIst X="200.0013" Y="-5744.7925" Z="1901.2023" A="106.6983" B="0.0001" C="180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394776</IPOC></Rob>

1572619457084458296,<Rob Type="KUKA"><RIst X="200.0013" Y="-5744.7925" Z="1901.2021" A="106.6984" B="0.0001" C="-180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394780</IPOC></Rob>

1572619457088318849,<Rob Type="KUKA"><RIst X="200.0009" Y="-5744.7925" Z="1901.2018" A="106.6984" B="0.0001" C="-180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394784</IPOC></Rob>

1572619457092028892,<Rob Type="KUKA"><RIst X="200.0007" Y="-5744.7925" Z="1901.2020" A="106.6983" B="0.0001" C="-180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394788</IPOC></Rob>

1572619457096234041,<Rob Type="KUKA"><RIst X="200.0014" Y="-5744.7925" Z="1901.2017" A="106.6984" B="0.0001" C="180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394792</IPOC></Rob>

1572619457100504181,<Rob Type="KUKA"><RIst X="200.0010" Y="-5744.7930" Z="1901.2020" A="106.6983" B="0.0001" C="180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394796</IPOC></Rob>

1572619457104330489,<Rob Type="KUKA"><RIst X="200.0013" Y="-5744.7925" Z="1901.2020" A="106.6983" B="0.0001" C="-180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394800</IPOC></Rob>

1572619457108196637,<Rob Type="KUKA"><RIst X="200.0009" Y="-5744.7925" Z="1901.2017" A="106.6984" B="0.0001" C="-180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394804</IPOC></Rob>

1572619457112684929,<Rob Type="KUKA"><RIst X="200.0009" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="-180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394808</IPOC></Rob>

1572619457116378957,<Rob Type="KUKA"><RIst X="200.0010" Y="-5744.7925" Z="1901.2020" A="106.6984" B="0.0001" C="180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394812</IPOC></Rob>

1572619457120639739,<Rob Type="KUKA"><RIst X="200.0013" Y="-5744.7925" Z="1901.2019" A="106.6983" B="0.0001" C="-180.0000"/><RSol X="200.0011" Y="-5744.7925" Z="1901.2019" A="106.6984" B="0.0001" C="180.0000"/><AIPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><ASPos A1="83.9740" A2="-64.7351" A3="90.3521" A4="0.0000" A5="64.3829" A6="10.6724"/><Delay D="0"/><IPOC>190394816</IPOC></Rob>

