%time,field.data
1575394277352600387,<Rob Type="KUKA"><RIst X="158.0084" Y="-4166.6084" Z="1910.0170" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1614" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8600"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520326</IPOC></Rob>

1575394277356041431,<Rob Type="KUKA"><RIst X="158.0086" Y="-4166.6089" Z="1910.0170" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1614" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8599"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520330</IPOC></Rob>

1575394277359582213,<Rob Type="KUKA"><RIst X="158.0085" Y="-4166.6089" Z="1910.0170" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1614" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8600"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520334</IPOC></Rob>

1575394277363573193,<Rob Type="KUKA"><RIst X="158.0080" Y="-4166.6089" Z="1910.0170" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1615" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8600"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520338</IPOC></Rob>

1575394277367121574,<Rob Type="KUKA"><RIst X="158.0084" Y="-4166.6089" Z="1910.0170" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1614" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8600"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520342</IPOC></Rob>

1575394277371843517,<Rob Type="KUKA"><RIst X="158.0080" Y="-4166.6084" Z="1910.0168" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1615" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8599"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520346</IPOC></Rob>

1575394277376252049,<Rob Type="KUKA"><RIst X="158.0084" Y="-4166.6089" Z="1910.0170" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1614" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8600"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520350</IPOC></Rob>

1575394277379075616,<Rob Type="KUKA"><RIst X="158.0080" Y="-4166.6089" Z="1910.0171" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1615" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8600"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520354</IPOC></Rob>

1575394277383397932,<Rob Type="KUKA"><RIst X="158.0084" Y="-4166.6089" Z="1910.0170" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1614" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8600"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520358</IPOC></Rob>

1575394277387303661,<Rob Type="KUKA"><RIst X="158.0080" Y="-4166.6084" Z="1910.0170" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1615" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8599"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520362</IPOC></Rob>

