%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.acceleration0,field.acceleration1,field.acceleration2,field.acceleration3,field.acceleration4,field.acceleration5,field.jerk0,field.jerk1,field.jerk2,field.jerk3,field.jerk4,field.jerk5
1575393324711136133,0,1575393324707055638,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.48634791983,-1.15797838391,1.60939011389,1.14795400146e-17,1.11938459682,0.206995093831,0.0,0.0,0.0,0.0,0.0,0.0,0.0443567067512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575393324711138876,1,1575393325354267400,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.49563805647,-1.1448783753,1.54613264618,3.2513083321e-06,1.16944939123,0.183985727932,0.0143540911712,0.0202406837698,-0.0977384395679,5.0235618725e-06,0.0773545805793,-0.035551526166,0.0,0.0,0.0,1.3087415846e-21,0.0,-6.43272663665e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393324711143477,2,1575393326001479162,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.50492819311,-1.13177836669,1.48287517847,6.5026166642e-06,1.21951418564,0.160976362033,0.0143540911712,0.0202406837698,-0.0977384395679,5.0235618725e-06,0.0773545805793,-0.035551526166,0.0,0.0,0.0,-2.61748316921e-21,0.0,6.43272663665e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393324711145841,3,1575393326648690925,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.51421832975,-1.11867835808,1.41961771076,9.75392499629e-06,1.26957898005,0.137966996133,0.0143540911712,0.0202406837698,-0.0977384395679,5.0235618725e-06,0.0773545805793,-0.035551526166,0.0,0.0,0.0,0.0,0.0,-3.21636331832e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393324711148879,4,1575393327295902687,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.52350846639,-1.10557834947,1.35636024305,1.30052333284e-05,1.31964377446,0.114957630234,0.0143540911712,0.0202406837698,-0.0977384395679,5.0235618725e-06,0.0773545805793,-0.035551526166,-5.30699947523e-16,-5.30699947523e-16,0.0,3.92622475381e-21,0.0,-3.21636331832e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393324711151610,5,1575393327943114449,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.53279860303,-1.09247834085,1.29310277535,1.62565416605e-05,1.36970856888,0.0919482643346,0.0143540911712,0.0202406837698,-0.0977384395679,5.0235618725e-06,0.0773545805793,-0.035551526166,5.30699947523e-16,5.30699947523e-16,0.0,-3.92622475381e-21,0.0,9.64908995497e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393324711156831,6,1575393328590326211,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.54208873968,-1.07937833224,1.22984530764,1.95078499926e-05,1.41977336329,0.0689388984353,0.0143540911712,0.0202406837698,-0.0977384395679,5.0235618725e-06,0.0773545805793,-0.035551526166,0.0,0.0,0.0,7.85244950763e-21,0.0,-9.64908995497e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393324711167803,7,1575393329237537973,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.55137887632,-1.06627832363,1.16658783993,2.27591583247e-05,1.4698381577,0.0459295325361,0.0143540911712,0.0202406837698,-0.0977384395679,5.0235618725e-06,0.0773545805793,-0.035551526166,0.0,0.0,0.0,-1.57048990153e-20,0.0,6.43272663665e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393324711173112,8,1575393329884749736,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.56066901296,-1.05317831502,1.10333037222,2.60104666568e-05,1.51990295211,0.0229201666368,0.0143540911712,0.0202406837698,-0.0977384395679,5.0235618725e-06,0.0773545805793,-0.035551526166,0.0,0.0,0.0,1.57048990153e-20,0.0,-4.28848442443e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393324711177354,9,1575393330531961498,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.5699591496,-1.04007830641,1.04007290451,2.92617749888e-05,1.56996774652,-8.91992625315e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0443567067512,-0.0625473297968,0.302029243825,-1.55237038812e-05,-0.239039477017,0.109860568802,0.0,0.0,0.0,0.0,0.0,0.0
