%time,field.data
1573816364551437287,<Rob Type="KUKA"><RIst X="158.0088" Y="-5280.0151" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><RSol X="158.0089" Y="-5280.0149" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><AIPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><ASPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><Delay D="0"/><IPOC>356834864</IPOC></Rob>

1573816364555232453,<Rob Type="KUKA"><RIst X="158.0092" Y="-5280.0151" Z="1910.0148" A="106.6986" B="-0.0001" C="-180.0000"/><RSol X="158.0089" Y="-5280.0149" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><AIPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><ASPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><Delay D="0"/><IPOC>356834868</IPOC></Rob>

1573816364559274315,<Rob Type="KUKA"><RIst X="158.0088" Y="-5280.0151" Z="1910.0151" A="106.6986" B="-0.0001" C="-180.0000"/><RSol X="158.0089" Y="-5280.0149" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><AIPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><ASPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><Delay D="0"/><IPOC>356834872</IPOC></Rob>

1573816364563316105,<Rob Type="KUKA"><RIst X="158.0092" Y="-5280.0146" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><RSol X="158.0089" Y="-5280.0149" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><AIPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><ASPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><Delay D="0"/><IPOC>356834876</IPOC></Rob>

1573816364567924765,<Rob Type="KUKA"><RIst X="158.0090" Y="-5280.0151" Z="1910.0149" A="106.6986" B="-0.0001" C="-180.0000"/><RSol X="158.0089" Y="-5280.0149" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><AIPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><ASPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><Delay D="0"/><IPOC>356834880</IPOC></Rob>

1573816364571728763,<Rob Type="KUKA"><RIst X="158.0090" Y="-5280.0146" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><RSol X="158.0089" Y="-5280.0149" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><AIPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><ASPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><Delay D="0"/><IPOC>356834884</IPOC></Rob>

1573816364575603605,<Rob Type="KUKA"><RIst X="158.0085" Y="-5280.0151" Z="1910.0151" A="106.6986" B="-0.0001" C="-180.0000"/><RSol X="158.0089" Y="-5280.0149" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><AIPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><ASPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><Delay D="0"/><IPOC>356834888</IPOC></Rob>

1573816364579221513,<Rob Type="KUKA"><RIst X="158.0088" Y="-5280.0151" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><RSol X="158.0089" Y="-5280.0149" Z="1910.0150" A="106.6986" B="-0.0001" C="-180.0000"/><AIPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><ASPos A1="85.1614" A2="-66.3472" A3="92.2113" A4="0.0001" A5="64.1361" A6="11.8600"/><Delay D="0"/><IPOC>356834892</IPOC></Rob>

